frame,frame_ms,terrain_ms,spaceship_ms,launchpad_ms,viewA_ms,viewB_ms,cpuRender_ms,cpuFrame_ms
2,16.6134,2.89587,0.004096,0.031744,2.93581,0.001024,15.7281,15.747
0,17.5073,2.89792,0.004096,0.03072,2.93683,0.001024,16.4508,16.4744
1,15.6078,2.89382,0.00512,0.03072,2.93376,0.001024,17.3167,17.3386
2,17.0025,2.90611,0.003072,0.031744,2.94502,0,15.7777,15.815
0,16.1925,2.89997,0.004096,0.031744,2.94093,0.001024,16.6549,16.6947
1,16.9605,2.90099,0.004096,0.031744,2.94093,0.001024,16.274,16.2953
2,17.7449,2.8969,0.004096,0.028672,2.93376,0.001024,16.7957,16.814
0,16.7373,2.55795,0.002048,0.024576,2.60198,2.58867,17.6929,17.7207
1,15.487,2.55795,0.004096,0.024576,2.60096,2.5897,16.6242,16.6502
2,17.11,2.56205,0.003072,0.0256,2.59277,2.59379,15.4568,15.5284
0,16.1546,2.56307,0.003072,0.0256,2.58867,2.59482,16.9865,17.0203
1,16.9257,2.55283,0.004096,0.023552,2.59584,2.58458,16.1428,16.1644
2,16.2703,2.56307,0.003072,0.024576,2.59174,2.59482,16.7702,16.7887
0,17.0537,2.57229,0.004096,0.0256,2.59482,2.60403,16.3811,16.3977
1,16.3922,2.55386,0.003072,0.0256,2.59789,2.5856,16.9426,16.968
2,16.7148,2.56205,0.003072,0.024576,2.59891,2.59277,16.3497,16.3869
0,16.51,2.56307,0.003072,0.0256,2.58458,2.59584,16.6079,16.6442
1,17.0721,2.56717,0.002048,0.0256,2.60301,2.59891,16.5263,16.5528
2,16.6687,2.56614,0.004096,0.0256,2.59584,2.59789,16.927,16.9506
0,16.5315,2.49344,0.003072,0.023552,2.5344,2.52518,16.1371,16.1794
1,16.4946,2.50778,0.003072,0.023552,2.52826,2.5385,16.4996,16.5251
2,16.7434,2.49446,0.003072,0.023552,2.51802,2.52518,16.5529,16.5892
0,16.6932,2.48627,0.003072,0.024576,2.52621,2.51699,16.7983,16.8268
1,16.6175,2.4873,0.004096,0.024576,2.51187,2.51904,16.4925,16.5339
2,16.5929,2.48832,0.003072,0.024576,2.51597,2.52006,16.5568,16.5931
0,16.7199,2.48832,0.003072,0.024576,2.51494,2.51904,16.5374,16.5739
1,16.6205,2.4873,0.003072,0.024576,2.52518,2.51802,16.6679,16.7074
2,16.5233,2.51904,0.003072,0.023552,2.53747,2.54976,16.4898,16.534
